epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0818,1.3464,3.61196,3.6258,1.39371,0.01618,0.49313,0.20519,0.14525,0.00934,0.28345,0.17255,0.10968,0.83264,2.1307,3.40238,0.97185,0.0001,0.0001,0.0001
2,14.9355,1.05992,2.31288,3.35715,1.181,0.01592,0.58569,0.28948,0.18932,0.01484,0.54656,0.19228,0.09612,0.78585,1.86348,3.35115,0.87734,0.000210396,0.000210396,0.000210396
3,15.8559,0.92449,1.81556,3.00708,1.04554,0.01431,0.71238,0.35162,0.24012,0.01368,0.68157,0.27377,0.15429,0.81311,1.8807,3.21952,0.90002,0.000318565,0.000318565,0.000318565
4,16.6953,0.90994,1.58034,2.60184,1.02675,0.01571,0.71238,0.46302,0.35225,0.01571,0.71477,0.40296,0.25927,0.63407,1.90944,3.14462,0.83236,0.000424506,0.000424506,0.000424506
5,17.5035,0.86081,1.40661,2.0272,1.01176,0.01664,0.72631,0.42326,0.29533,0.01592,0.69481,0.39841,0.21896,0.68842,2.01281,3.18388,0.85716,0.00052822,0.00052822,0.00052822
6,18.3097,0.89435,1.31813,1.5189,1.02503,0.01726,0.73412,0.5607,0.42814,0.01688,0.7185,0.54633,0.34299,0.81313,1.91853,3.01773,0.92061,0.000629706,0.000629706,0.000629706
7,19.1518,0.86237,1.28112,1.28109,0.99969,0.87604,0.48147,0.62824,0.49441,0.89541,0.44288,0.61889,0.39942,0.67893,2.0806,2.8537,0.86068,0.000728965,0.000728965,0.000728965
8,20.0899,0.80299,1.17989,1.15085,0.97706,0.91883,0.44714,0.67768,0.53324,0.90487,0.43101,0.63683,0.42096,0.7861,2.50446,2.37861,0.91813,0.000825996,0.000825996,0.000825996
9,20.9048,0.81941,1.23187,1.06684,0.97406,0.90993,0.52022,0.66426,0.54038,0.88204,0.48796,0.61642,0.39125,0.71825,2.60601,2.1743,0.89274,0.0009208,0.0009208,0.0009208
10,21.677,0.80962,1.17555,1.00123,0.99071,0.91751,0.671,0.80778,0.6465,0.9105,0.66294,0.78934,0.56166,0.67259,1.37986,2.01245,0.86693,0.00101338,0.00101338,0.00101338
11,22.4707,0.79323,1.1177,0.92345,0.97102,0.907,0.68625,0.87528,0.73005,0.907,0.68625,0.875,0.62766,0.63099,1.41614,1.62193,0.85753,0.00110373,0.00110373,0.00110373
12,23.2675,0.78963,1.16283,0.8728,0.96999,0.87181,0.7092,0.9072,0.72678,0.86543,0.70122,0.87984,0.63749,0.79554,1.84563,1.40716,0.9031,0.00111388,0.00111388,0.00111388
