epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4086,1.25277,4.04618,3.77894,1.31897,0.01013,0.61097,0.08726,0.06074,0.00642,0.45837,0.06849,0.05107,0.82676,2.3122,3.59528,0.93371,8e-05,8e-05,8e-05
2,15.2557,1.03065,2.83733,3.57109,1.15686,0.01225,0.7025,0.21796,0.15721,0.01076,0.63861,0.19985,0.13811,0.94115,2.03173,3.50187,1.02518,0.000168317,0.000168317,0.000168317
3,16.086,0.91695,2.30268,3.34128,1.06079,0.00969,0.72298,0.25344,0.20303,0.00946,0.71464,0.23542,0.15919,0.75513,2.3301,3.44355,0.93411,0.000254852,0.000254852,0.000254852
4,16.9011,0.90312,2.13748,3.1282,1.03279,0.01033,0.76663,0.37166,0.29702,0.00999,0.7476,0.34397,0.2466,0.66339,2.17373,3.34877,0.84193,0.000339605,0.000339605,0.000339605
5,17.7996,0.85165,1.88237,2.77596,1.00579,0.00957,0.7803,0.36577,0.25964,0.00939,0.76385,0.30163,0.21832,0.80582,2.53147,3.26589,0.94366,0.000422576,0.000422576,0.000422576
6,18.5837,0.8803,1.8708,2.39966,1.01909,0.01216,0.82439,0.41305,0.34612,0.01204,0.8196,0.37605,0.28567,0.68043,1.78923,3.11521,0.81512,0.000503765,0.000503765,0.000503765
7,19.3727,0.87339,1.77354,2.0509,1.02805,0.01273,0.83234,0.47435,0.39164,0.012,0.80397,0.41592,0.29783,0.7046,2.15012,2.88583,0.82109,0.000583172,0.000583172,0.000583172
8,20.1591,0.83723,1.61646,1.75993,1.00439,0.98751,0.10287,0.48365,0.37659,0.98751,0.10287,0.47077,0.3404,0.71404,1.92474,2.67625,0.86214,0.000660797,0.000660797,0.000660797
9,20.9698,0.88457,1.74278,1.55183,1.02828,0.97208,0.28119,0.52997,0.43271,0.94628,0.27424,0.51346,0.3733,0.70358,1.69769,2.32415,0.93203,0.00073664,0.00073664,0.00073664
10,21.7442,0.84263,1.59478,1.41739,1.01108,0.95883,0.30981,0.56682,0.45243,0.95883,0.30981,0.54316,0.39503,0.75499,1.67343,2.2294,0.91774,0.000810701,0.000810701,0.000810701
11,22.6201,0.86067,1.63308,1.32438,1.03059,0.86139,0.40219,0.57211,0.424,0.85615,0.39524,0.50756,0.35793,0.75682,1.71016,1.81329,0.92747,0.00088298,0.00088298,0.00088298
12,23.3931,0.81962,1.61434,1.23047,1.00126,0.75003,0.4762,0.5871,0.46401,0.74444,0.47081,0.56744,0.37539,0.8014,1.6535,1.51691,0.94169,0.0008911,0.0008911,0.0008911
13,24.1363,0.8223,1.66361,1.22302,1.00629,0.69047,0.52901,0.59882,0.49365,0.69113,0.5323,0.58258,0.40683,0.71129,1.49996,1.39122,0.90918,0.0008812,0.0008812,0.0008812
14,24.9124,0.81551,1.67036,1.1698,1.01304,0.67263,0.62341,0.60319,0.4723,0.64973,0.59631,0.55999,0.38299,0.71759,1.60976,1.18626,0.90636,0.0008713,0.0008713,0.0008713
15,25.6593,0.76419,1.35269,1.08234,0.9851,0.71652,0.62147,0.57254,0.44675,0.69342,0.60734,0.5446,0.39773,0.73343,1.40616,1.10349,0.89234,0.0008614,0.0008614,0.0008614
16,26.4253,0.71642,1.42625,1.02474,0.98311,0.75562,0.59515,0.59244,0.49473,0.75083,0.58831,0.57759,0.42195,0.6597,1.58935,0.91771,0.86818,0.0008515,0.0008515,0.0008515
